Jurisdiction,Year,Female,Male,Gap
New Jersey,2002,222.0,215.0,-7.0
New Jersey,2003,229.0,222.0,-7.0
New Jersey,2005,226.0,221.0,-5.0
New Jersey,2007,234.0,228.0,-6.0
New Jersey,2009,232.0,227.0,-5.0
New Jersey,2011,233.0,229.0,-4.0
New Jersey,2013,231.0,226.0,-5.0
New Jersey,2015,233.0,226.0,-7.0
New Jersey,2017,237.0,229.0,-8.0
New Jersey,2019,231.0,224.0,-7.0
New Jersey,2022,229.0,217.0,-12.0
New Mexico,2002,211.0,204.0,-7.0
New Mexico,2003,206.0,201.0,-5.0
New Mexico,2005,211.0,203.0,-8.0
New Mexico,2007,213.0,210.0,-3.0
New Mexico,2009,213.0,203.0,-10.0
New Mexico,2011,211.0,205.0,-6.0
New Mexico,2013,210.0,202.0,-8.0
New Mexico,2015,213.0,202.0,-11.0
New Mexico,2017,212.0,204.0,-8.0
New Mexico,2019,212.0,204.0,-8.0
New Mexico,2022,207.0,198.0,-9.0
New York,2002,227.0,217.0,-10.0
New York,2003,226.0,218.0,-8.0
New York,2005,225.0,220.0,-5.0
New York,2007,227.0,220.0,-7.0
New York,2009,228.0,221.0,-7.0
New York,2011,226.0,219.0,-7.0
New York,2013,227.0,221.0,-6.0
New York,2015,226.0,219.0,-7.0
New York,2017,225.0,219.0,-6.0
New York,2019,222.0,217.0,-5.0
New York,2022,214.0,213.0,-1.0
North Carolina,2002,225.0,218.0,-7.0
North Carolina,2003,227.0,216.0,-11.0
North Carolina,2005,221.0,213.0,-8.0
North Carolina,2007,222.0,214.0,-8.0
North Carolina,2009,224.0,215.0,-9.0
North Carolina,2011,225.0,217.0,-8.0
North Carolina,2013,226.0,219.0,-7.0
North Carolina,2015,230.0,222.0,-8.0
North Carolina,2017,227.0,221.0,-6.0
North Carolina,2019,227.0,216.0,-11.0
North Carolina,2022,219.0,213.0,-6.0
North Dakota,2002,227.0,221.0,-6.0
North Dakota,2003,225.0,218.0,-7.0
North Dakota,2005,227.0,222.0,-5.0
North Dakota,2007,229.0,224.0,-5.0
North Dakota,2009,229.0,223.0,-6.0
North Dakota,2011,228.0,223.0,-5.0
North Dakota,2013,228.0,220.0,-8.0
North Dakota,2015,226.0,224.0,-2.0
North Dakota,2017,227.0,217.0,-10.0
North Dakota,2019,225.0,217.0,-8.0
North Dakota,2022,221.0,214.0,-7.0
Ohio,2002,225.0,220.0,-5.0
Ohio,2003,226.0,218.0,-8.0
Ohio,2005,226.0,219.0,-7.0
Ohio,2007,228.0,223.0,-5.0
Ohio,2009,227.0,222.0,-5.0
Ohio,2011,226.0,222.0,-4.0
Ohio,2013,227.0,221.0,-6.0
Ohio,2015,228.0,222.0,-6.0
Ohio,2017,227.0,223.0,-4.0
Ohio,2019,224.0,220.0,-4.0
Ohio,2022,222.0,216.0,-6.0
Oklahoma,2002,217.0,210.0,-7.0
Oklahoma,2003,217.0,210.0,-7.0
Oklahoma,2005,217.0,211.0,-6.0
Oklahoma,2007,220.0,214.0,-6.0
Oklahoma,2009,220.0,214.0,-6.0
Oklahoma,2011,219.0,213.0,-6.0
Oklahoma,2013,221.0,213.0,-8.0
Oklahoma,2015,225.0,219.0,-6.0
Oklahoma,2017,220.0,213.0,-7.0
Oklahoma,2019,218.0,214.0,-4.0
Oklahoma,2022,214.0,203.0,-11.0
Oregon,2002,224.0,215.0,-9.0
Oregon,2003,223.0,213.0,-10.0
Oregon,2005,220.0,213.0,-7.0
Oregon,2007,218.0,212.0,-6.0
Oregon,2009,223.0,214.0,-9.0
Oregon,2011,221.0,212.0,-9.0
Oregon,2013,224.0,215.0,-9.0
Oregon,2015,224.0,217.0,-7.0
Oregon,2017,223.0,212.0,-11.0
Oregon,2019,220.0,215.0,-5.0
Oregon,2022,214.0,207.0,-7.0
Pennsylvania,2002,223.0,218.0,-5.0
Pennsylvania,2003,222.0,215.0,-7.0
Pennsylvania,2005,227.0,219.0,-8.0
Pennsylvania,2007,230.0,223.0,-7.0
Pennsylvania,2009,226.0,221.0,-5.0
Pennsylvania,2011,232.0,223.0,-9.0
Pennsylvania,2013,231.0,221.0,-10.0
Pennsylvania,2015,231.0,223.0,-8.0
Pennsylvania,2017,226.0,224.0,-2.0
Pennsylvania,2019,228.0,219.0,-9.0
Pennsylvania,2022,221.0,217.0,-4.0
Rhode Island,2002,222.0,217.0,-5.0
Rhode Island,2003,220.0,213.0,-7.0
Rhode Island,2005,221.0,212.0,-9.0
Rhode Island,2007,223.0,215.0,-8.0
Rhode Island,2009,228.0,218.0,-10.0
Rhode Island,2011,227.0,218.0,-9.0
Rhode Island,2013,228.0,218.0,-10.0
Rhode Island,2015,228.0,223.0,-5.0
Rhode Island,2017,226.0,221.0,-5.0
Rhode Island,2019,223.0,218.0,-5.0
Rhode Island,2022,223.0,212.0,-11.0
South Carolina,2002,218.0,209.0,-9.0
South Carolina,2003,219.0,211.0,-8.0
South Carolina,2005,217.0,210.0,-7.0
South Carolina,2007,218.0,210.0,-8.0
South Carolina,2009,219.0,213.0,-6.0
South Carolina,2011,220.0,210.0,-10.0
South Carolina,2013,218.0,209.0,-9.0
South Carolina,2015,223.0,213.0,-10.0
South Carolina,2017,217.0,210.0,-7.0
South Carolina,2019,220.0,212.0,-8.0
South Carolina,2022,220.0,213.0,-7.0
South Dakota,2002,222.0,215.0,-7.0
South Dakota,2003,225.0,220.0,-5.0
South Dakota,2005,227.0,219.0,-8.0
South Dakota,2007,227.0,220.0,-7.0
South Dakota,2009,225.0,220.0,-5.0
South Dakota,2011,223.0,217.0,-6.0
South Dakota,2013,222.0,214.0,-8.0
South Dakota,2015,223.0,218.0,-5.0
South Dakota,2017,224.0,219.0,-5.0
South Dakota,2019,224.0,220.0,-4.0
South Dakota,2022,224.0,213.0,-11.0
Tennessee,2002,217.0,211.0,-6.0
Tennessee,2003,217.0,208.0,-9.0
Tennessee,2005,218.0,210.0,-8.0
Tennessee,2007,219.0,213.0,-6.0
Tennessee,2009,220.0,214.0,-6.0
Tennessee,2011,219.0,211.0,-8.0
Tennessee,2013,223.0,216.0,-7.0
Tennessee,2015,224.0,214.0,-10.0
Tennessee,2017,223.0,215.0,-8.0
Tennessee,2019,221.0,217.0,-4.0
Tennessee,2022,217.0,211.0,-6.0
Texas,2002,219.0,215.0,-4.0
Texas,2003,218.0,212.0,-6.0
Texas,2005,222.0,216.0,-6.0
Texas,2007,223.0,217.0,-6.0
Texas,2009,222.0,216.0,-6.0
Texas,2011,220.0,216.0,-4.0
Texas,2013,219.0,215.0,-4.0
Texas,2015,221.0,215.0,-6.0
Texas,2017,216.0,213.0,-3.0
Texas,2019,220.0,212.0,-8.0
Texas,2022,216.0,212.0,-4.0
Utah,2002,225.0,218.0,-7.0
Utah,2003,224.0,215.0,-9.0
Utah,2005,226.0,216.0,-10.0
Utah,2007,225.0,217.0,-8.0
Utah,2009,222.0,217.0,-5.0
Utah,2011,223.0,218.0,-5.0
Utah,2013,227.0,219.0,-8.0
Utah,2015,230.0,222.0,-8.0
Utah,2017,230.0,221.0,-9.0
Utah,2019,229.0,221.0,-8.0
Utah,2022,223.0,219.0,-4.0
Vermont,2002,231.0,223.0,-8.0
Vermont,2003,229.0,224.0,-5.0
Vermont,2005,230.0,223.0,-7.0
Vermont,2007,232.0,225.0,-7.0
Vermont,2009,231.0,226.0,-5.0
Vermont,2011,230.0,224.0,-6.0
Vermont,2013,233.0,223.0,-10.0
Vermont,2015,234.0,226.0,-8.0
Vermont,2017,230.0,223.0,-7.0
Vermont,2019,226.0,218.0,-8.0
Vermont,2022,219.0,215.0,-4.0
Virginia,2002,227.0,223.0,-4.0
Virginia,2003,228.0,219.0,-9.0
Virginia,2005,228.0,223.0,-5.0
Virginia,2007,230.0,224.0,-6.0
Virginia,2009,230.0,223.0,-7.0
Virginia,2011,230.0,223.0,-7.0
Virginia,2013,232.0,225.0,-7.0
Virginia,2015,232.0,227.0,-5.0
Virginia,2017,229.0,226.0,-3.0
Virginia,2019,227.0,221.0,-6.0
Virginia,2022,221.0,208.0,-13.0
Washington,2002,227.0,220.0,-7.0
Washington,2003,226.0,216.0,-10.0
Washington,2005,228.0,219.0,-9.0
Washington,2007,227.0,221.0,-6.0
Washington,2009,226.0,217.0,-9.0
Washington,2011,226.0,216.0,-10.0
Washington,2013,228.0,222.0,-6.0
Washington,2015,233.0,219.0,-14.0
Washington,2017,226.0,220.0,-6.0
Washington,2019,222.0,217.0,-5.0
Washington,2022,219.0,214.0,-5.0
West Virginia,2002,221.0,217.0,-4.0
West Virginia,2003,223.0,215.0,-8.0
West Virginia,2005,218.0,211.0,-7.0
West Virginia,2007,220.0,211.0,-9.0
West Virginia,2009,218.0,211.0,-7.0
West Virginia,2011,219.0,210.0,-9.0
West Virginia,2013,219.0,211.0,-8.0
West Virginia,2015,220.0,212.0,-8.0
West Virginia,2017,222.0,213.0,-9.0
West Virginia,2019,218.0,208.0,-10.0
West Virginia,2022,207.0,204.0,-3.0
Wisconsin,2002,222.0,215.0,-7.0
Wisconsin,2003,225.0,217.0,-8.0
Wisconsin,2005,224.0,219.0,-5.0
Wisconsin,2007,224.0,222.0,-2.0
Wisconsin,2009,224.0,217.0,-7.0
Wisconsin,2011,224.0,219.0,-5.0
Wisconsin,2013,225.0,216.0,-9.0
Wisconsin,2015,226.0,220.0,-6.0
Wisconsin,2017,223.0,217.0,-6.0
Wisconsin,2019,224.0,216.0,-8.0
Wisconsin,2022,222.0,213.0,-9.0
Wyoming,2002,224.0,219.0,-5.0
Wyoming,2003,225.0,219.0,-6.0
Wyoming,2005,226.0,221.0,-5.0
Wyoming,2007,228.0,222.0,-6.0
Wyoming,2009,226.0,219.0,-7.0
Wyoming,2011,228.0,221.0,-7.0
Wyoming,2013,229.0,223.0,-6.0
Wyoming,2015,231.0,226.0,-5.0
Wyoming,2017,230.0,224.0,-6.0
Wyoming,2019,228.0,226.0,-2.0
Wyoming,2022,226.0,223.0,-3.0
