Jurisdiction,Year,Female,Male,Gap
Kansas,2022,261.0,252.0,-9.0
Kentucky,2002,270.0,261.0,-9.0
Kentucky,2003,272.0,261.0,-11.0
Kentucky,2005,270.0,258.0,-12.0
Kentucky,2007,266.0,257.0,-9.0
Kentucky,2009,271.0,263.0,-8.0
Kentucky,2011,274.0,264.0,-10.0
Kentucky,2013,273.0,266.0,-7.0
Kentucky,2015,273.0,263.0,-10.0
Kentucky,2017,273.0,258.0,-15.0
Kentucky,2019,268.0,258.0,-10.0
Kentucky,2022,264.0,253.0,-11.0
Louisiana,2002,260.0,252.0,-8.0
Louisiana,2003,258.0,248.0,-10.0
Louisiana,2005,259.0,247.0,-12.0
Louisiana,2007,258.0,248.0,-10.0
Louisiana,2009,258.0,248.0,-10.0
Louisiana,2011,259.0,251.0,-8.0
Louisiana,2013,262.0,253.0,-9.0
Louisiana,2015,260.0,251.0,-9.0
Louisiana,2017,261.0,253.0,-8.0
Louisiana,2019,262.0,253.0,-9.0
Louisiana,2022,262.0,252.0,-10.0
Maine,2002,275.0,265.0,-10.0
Maine,2003,275.0,262.0,-13.0
Maine,2005,276.0,264.0,-12.0
Maine,2007,276.0,264.0,-12.0
Maine,2009,273.0,262.0,-11.0
Maine,2011,275.0,265.0,-10.0
Maine,2013,276.0,262.0,-14.0
Maine,2015,273.0,264.0,-9.0
Maine,2017,276.0,262.0,-14.0
Maine,2019,272.0,259.0,-13.0
Maine,2022,264.0,250.0,-14.0
Maryland,2002,269.0,258.0,-11.0
Maryland,2003,269.0,255.0,-14.0
Maryland,2005,266.0,256.0,-10.0
Maryland,2007,270.0,260.0,-10.0
Maryland,2009,272.0,262.0,-10.0
Maryland,2011,275.0,267.0,-8.0
Maryland,2013,278.0,269.0,-9.0
Maryland,2015,276.0,260.0,-16.0
Maryland,2017,273.0,262.0,-11.0
Maryland,2019,269.0,260.0,-9.0
Maryland,2022,265.0,254.0,-11.0
Massachusetts,2002,275.0,266.0,-9.0
Massachusetts,2003,278.0,268.0,-10.0
Massachusetts,2005,278.0,269.0,-9.0
Massachusetts,2007,278.0,269.0,-9.0
Massachusetts,2009,279.0,269.0,-10.0
Massachusetts,2011,280.0,271.0,-9.0
Massachusetts,2013,281.0,273.0,-8.0
Massachusetts,2015,278.0,271.0,-7.0
Massachusetts,2017,282.0,273.0,-9.0
Massachusetts,2019,279.0,267.0,-12.0
Massachusetts,2022,274.0,263.0,-11.0
Michigan,2002,270.0,259.0,-11.0
Michigan,2003,270.0,259.0,-11.0
Michigan,2005,266.0,256.0,-10.0
Michigan,2007,266.0,255.0,-11.0
Michigan,2009,267.0,257.0,-10.0
Michigan,2011,271.0,260.0,-11.0
Michigan,2013,271.0,262.0,-9.0
Michigan,2015,270.0,260.0,-10.0
Michigan,2017,271.0,260.0,-11.0
Michigan,2019,268.0,257.0,-11.0
Michigan,2022,263.0,254.0,-9.0
Minnesota,2002,269.0,260.0,-9.0
Minnesota,2003,274.0,261.0,-13.0
Minnesota,2005,274.0,263.0,-11.0
Minnesota,2007,274.0,263.0,-11.0
Minnesota,2009,275.0,265.0,-10.0
Minnesota,2011,274.0,266.0,-8.0
Minnesota,2013,276.0,266.0,-10.0
Minnesota,2015,276.0,264.0,-12.0
Minnesota,2017,275.0,263.0,-12.0
Minnesota,2019,270.0,258.0,-12.0
Minnesota,2022,266.0,255.0,-11.0
Mississippi,2002,259.0,251.0,-8.0
Mississippi,2003,260.0,249.0,-11.0
Mississippi,2005,255.0,246.0,-9.0
Mississippi,2007,255.0,246.0,-9.0
Mississippi,2009,255.0,248.0,-7.0
Mississippi,2011,259.0,249.0,-10.0
Mississippi,2013,259.0,248.0,-11.0
Mississippi,2015,258.0,247.0,-11.0
Mississippi,2017,259.0,254.0,-5.0
Mississippi,2019,261.0,252.0,-9.0
Mississippi,2022,257.0,249.0,-8.0
Missouri,2002,271.0,265.0,-6.0
Missouri,2003,271.0,263.0,-8.0
Missouri,2005,270.0,260.0,-10.0
Missouri,2007,268.0,259.0,-9.0
Missouri,2009,272.0,262.0,-10.0
Missouri,2011,272.0,261.0,-11.0
Missouri,2013,273.0,261.0,-12.0
Missouri,2015,274.0,260.0,-14.0
Missouri,2017,271.0,261.0,-10.0
Missouri,2019,271.0,255.0,-16.0
Missouri,2022,264.0,252.0,-12.0
Montana,2002,274.0,267.0,-7.0
Montana,2003,276.0,264.0,-12.0
Montana,2005,274.0,265.0,-9.0
Montana,2007,278.0,265.0,-13.0
Montana,2009,276.0,265.0,-11.0
Montana,2011,278.0,268.0,-10.0
Montana,2013,276.0,267.0,-9.0
Montana,2015,275.0,265.0,-10.0
Montana,2017,274.0,261.0,-13.0
Montana,2019,272.0,258.0,-14.0
Montana,2022,267.0,256.0,-11.0
National,2002,269.0,260.0,-9.0
National,2003,269.0,258.0,-11.0
National,2005,267.0,257.0,-10.0
National,2007,268.0,258.0,-10.0
National,2009,269.0,259.0,-10.0
National,2011,270.0,261.0,-9.0
National,2013,273.0,263.0,-10.0
National,2015,270.0,261.0,-9.0
National,2017,272.0,262.0,-10.0
National,2019,269.0,258.0,-11.0
National,2022,265.0,256.0,-9.0
Nebraska,2002,274.0,267.0,-7.0
Nebraska,2003,271.0,261.0,-10.0
Nebraska,2005,274.0,261.0,-13.0
Nebraska,2007,272.0,262.0,-10.0
Nebraska,2009,272.0,263.0,-9.0
Nebraska,2011,272.0,264.0,-8.0
Nebraska,2013,274.0,265.0,-9.0
Nebraska,2015,275.0,264.0,-11.0
Nebraska,2017,272.0,265.0,-7.0
Nebraska,2019,268.0,260.0,-8.0
Nebraska,2022,265.0,254.0,-11.0
Nevada,2002,257.0,246.0,-11.0
Nevada,2003,258.0,246.0,-12.0
Nevada,2005,258.0,247.0,-11.0
Nevada,2007,259.0,245.0,-14.0
Nevada,2009,260.0,248.0,-12.0
Nevada,2011,264.0,252.0,-12.0
Nevada,2013,267.0,257.0,-10.0
Nevada,2015,265.0,254.0,-11.0
Nevada,2017,265.0,255.0,-10.0
Nevada,2019,263.0,254.0,-9.0
Nevada,2022,264.0,254.0,-10.0
New Hampshire,2002,269.0,260.0,-9.0
New Hampshire,2003,276.0,265.0,-11.0
New Hampshire,2005,275.0,264.0,-11.0
New Hampshire,2007,275.0,264.0,-11.0
New Hampshire,2009,277.0,264.0,-13.0
New Hampshire,2011,276.0,268.0,-8.0
New Hampshire,2013,280.0,269.0,-11.0
New Hampshire,2015,281.0,269.0,-12.0
New Hampshire,2017,280.0,270.0,-10.0
New Hampshire,2019,275.0,261.0,-14.0
New Hampshire,2022,268.0,259.0,-9.0
New Jersey,2002,269.0,260.0,-9.0
New Jersey,2003,272.0,263.0,-9.0
New Jersey,2005,273.0,266.0,-7.0
New Jersey,2007,274.0,266.0,-8.0
New Jersey,2009,277.0,269.0,-8.0
New Jersey,2011,280.0,270.0,-10.0
New Jersey,2013,282.0,271.0,-11.0
New Jersey,2015,275.0,267.0,-8.0
New Jersey,2017,280.0,271.0,-9.0
New Jersey,2019,275.0,265.0,-10.0
New Jersey,2022,272.0,268.0,-4.0
New Mexico,2002,258.0,250.0,-8.0
New Mexico,2003,257.0,246.0,-11.0
New Mexico,2005,255.0,247.0,-8.0
New Mexico,2007,255.0,247.0,-8.0
New Mexico,2009,257.0,251.0,-6.0
New Mexico,2011,260.0,252.0,-8.0
New Mexico,2013,260.0,252.0,-8.0
New Mexico,2015,258.0,248.0,-10.0
New Mexico,2017,260.0,252.0,-8.0
New Mexico,2019,259.0,245.0,-14.0
New Mexico,2022,254.0,242.0,-12.0
New York,2002,267.0,261.0,-6.0
New York,2003,271.0,259.0,-12.0
New York,2005,270.0,260.0,-10.0
New York,2007,269.0,258.0,-11.0
New York,2009,270.0,259.0,-11.0
New York,2011,270.0,261.0,-9.0
New York,2013,272.0,261.0,-11.0
New York,2015,268.0,259.0,-9.0
New York,2017,270.0,258.0,-12.0
New York,2019,267.0,257.0,-10.0
New York,2022,265.0,259.0,-6.0
North Carolina,2002,270.0,260.0,-10.0
North Carolina,2003,267.0,256.0,-11.0
North Carolina,2005,266.0,251.0,-15.0
North Carolina,2007,265.0,254.0,-11.0
North Carolina,2009,267.0,253.0,-14.0
North Carolina,2011,270.0,256.0,-14.0
North Carolina,2013,271.0,258.0,-13.0
North Carolina,2015,268.0,254.0,-14.0
North Carolina,2017,269.0,257.0,-12.0
North Carolina,2019,269.0,256.0,-13.0
North Carolina,2022,261.0,251.0,-10.0
North Dakota,2002,273.0,263.0,-10.0
North Dakota,2003,275.0,264.0,-11.0
North Dakota,2005,274.0,267.0,-7.0
North Dakota,2007,272.0,264.0,-8.0
North Dakota,2009,274.0,265.0,-9.0
North Dakota,2011,273.0,264.0,-9.0
North Dakota,2013,273.0,263.0,-10.0
North Dakota,2015,272.0,263.0,-9.0
North Dakota,2017,272.0,259.0,-13.0
North Dakota,2019,269.0,258.0,-11.0
North Dakota,2022,266.0,250.0,-16.0
Ohio,2002,272.0,265.0,-7.0
Ohio,2003,270.0,263.0,-7.0
Ohio,2005,272.0,261.0,-11.0
Ohio,2007,272.0,264.0,-8.0
Ohio,2009,272.0,265.0,-7.0
Ohio,2011,273.0,263.0,-10.0
Ohio,2013,274.0,264.0,-10.0
Ohio,2015,271.0,261.0,-10.0
Ohio,2017,274.0,263.0,-11.0
Ohio,2019,272.0,262.0,-10.0
Ohio,2022,266.0,258.0,-8.0
Oklahoma,2002,267.0,257.0,-10.0
Oklahoma,2003,268.0,256.0,-12.0
Oklahoma,2005,265.0,254.0,-11.0
Oklahoma,2007,264.0,255.0,-9.0
Oklahoma,2009,264.0,255.0,-9.0
Oklahoma,2011,264.0,256.0,-8.0
Oklahoma,2013,266.0,258.0,-8.0
Oklahoma,2015,267.0,259.0,-8.0
Oklahoma,2017,265.0,257.0,-8.0
Oklahoma,2019,264.0,252.0,-12.0
Oklahoma,2022,256.0,247.0,-9.0
Oregon,2002,273.0,264.0,-9.0
Oregon,2003,270.0,259.0,-11.0
Oregon,2005,268.0,258.0,-10.0
Oregon,2007,271.0,260.0,-11.0
Oregon,2009,270.0,260.0,-10.0
Oregon,2011,269.0,260.0,-9.0
Oregon,2013,274.0,263.0,-11.0
Oregon,2015,274.0,262.0,-12.0
Oregon,2017,273.0,260.0,-13.0
Oregon,2019,269.0,259.0,-10.0
Oregon,2022,260.0,254.0,-6.0
Pennsylvania,2002,268.0,263.0,-5.0
Pennsylvania,2003,270.0,259.0,-11.0
Pennsylvania,2005,271.0,262.0,-9.0
Pennsylvania,2007,270.0,265.0,-5.0
Pennsylvania,2009,274.0,267.0,-7.0
Pennsylvania,2011,272.0,263.0,-9.0
Pennsylvania,2013,275.0,269.0,-6.0
Pennsylvania,2015,273.0,265.0,-8.0
Pennsylvania,2017,274.0,266.0,-8.0
Pennsylvania,2019,270.0,259.0,-11.0
Pennsylvania,2022,264.0,255.0,-9.0
Rhode Island,2002,266.0,258.0,-8.0
Rhode Island,2003,266.0,256.0,-10.0
Rhode Island,2005,266.0,256.0,-10.0
Rhode Island,2007,261.0,256.0,-5.0
Rhode Island,2009,265.0,255.0,-10.0
Rhode Island,2011,271.0,260.0,-11.0
Rhode Island,2013,272.0,261.0,-11.0
Rhode Island,2015,270.0,260.0,-10.0
Rhode Island,2017,272.0,260.0,-12.0
Rhode Island,2019,267.0,257.0,-10.0
Rhode Island,2022,264.0,255.0,-9.0
South Carolina,2002,263.0,253.0,-10.0
South Carolina,2003,263.0,253.0,-10.0
South Carolina,2005,262.0,252.0,-10.0
South Carolina,2007,262.0,253.0,-9.0
South Carolina,2009,264.0,251.0,-13.0
South Carolina,2011,265.0,255.0,-10.0
South Carolina,2013,267.0,256.0,-11.0
South Carolina,2015,267.0,254.0,-13.0
South Carolina,2017,265.0,254.0,-11.0
South Carolina,2019,265.0,253.0,-12.0
South Carolina,2022,258.0,250.0,-8.0
South Dakota,2002,269.0,260.0,-9.0
South Dakota,2003,275.0,265.0,-10.0
South Dakota,2005,273.0,264.0,-9.0
South Dakota,2007,274.0,266.0,-8.0
South Dakota,2009,275.0,266.0,-9.0
South Dakota,2011,273.0,265.0,-8.0
South Dakota,2013,274.0,262.0,-12.0
South Dakota,2015,272.0,263.0,-9.0
South Dakota,2017,273.0,262.0,-11.0
South Dakota,2019,269.0,257.0,-12.0
South Dakota,2022,268.0,256.0,-12.0
Tennessee,2002,266.0,254.0,-12.0
Tennessee,2003,265.0,252.0,-13.0
Tennessee,2005,264.0,255.0,-9.0
Tennessee,2007,264.0,254.0,-10.0
Tennessee,2009,265.0,257.0,-8.0
Tennessee,2011,264.0,255.0,-9.0
Tennessee,2013,269.0,262.0,-7.0
Tennessee,2015,269.0,261.0,-8.0
Tennessee,2017,268.0,256.0,-12.0
Tennessee,2019,268.0,257.0,-11.0
Tennessee,2022,265.0,250.0,-15.0
Texas,2002,268.0,257.0,-11.0
Texas,2003,265.0,253.0,-12.0
Texas,2005,263.0,254.0,-9.0
Texas,2007,266.0,256.0,-10.0
Texas,2009,264.0,256.0,-8.0
Texas,2011,263.0,260.0,-3.0
Texas,2013,268.0,260.0,-8.0
Texas,2015,265.0,256.0,-9.0
Texas,2017,264.0,257.0,-7.0
Texas,2019,261.0,251.0,-10.0
Texas,2022,257.0,253.0,-4.0
Utah,2002,270.0,257.0,-13.0
Utah,2003,269.0,259.0,-10.0
Utah,2005,269.0,255.0,-14.0
Utah,2007,267.0,258.0,-9.0
Utah,2009,271.0,260.0,-11.0
Utah,2011,272.0,262.0,-10.0
Utah,2013,275.0,265.0,-10.0
Utah,2015,275.0,264.0,-11.0
Utah,2017,273.0,265.0,-8.0
Utah,2019,273.0,262.0,-11.0
Utah,2022,272.0,259.0,-13.0
Vermont,2002,277.0,267.0,-10.0
Vermont,2003,276.0,265.0,-11.0
Vermont,2005,276.0,262.0,-14.0
Vermont,2007,278.0,268.0,-10.0
Vermont,2009,278.0,267.0,-11.0
Vermont,2011,280.0,268.0,-12.0
Vermont,2013,280.0,269.0,-11.0
Vermont,2015,279.0,269.0,-10.0
Vermont,2017,281.0,267.0,-14.0
Vermont,2019,276.0,262.0,-14.0
Vermont,2022,271.0,257.0,-14.0
Virginia,2002,275.0,264.0,-11.0
Virginia,2003,272.0,263.0,-9.0
Virginia,2005,273.0,263.0,-10.0
Virginia,2007,272.0,262.0,-10.0
Virginia,2009,271.0,260.0,-11.0
Virginia,2011,271.0,263.0,-8.0
Virginia,2013,273.0,262.0,-11.0
Virginia,2015,271.0,263.0,-8.0
Virginia,2017,273.0,263.0,-10.0
Virginia,2019,271.0,253.0,-18.0
Virginia,2022,265.0,255.0,-10.0
Washington,2002,275.0,261.0,-14.0
Washington,2003,271.0,258.0,-13.0
Washington,2005,269.0,260.0,-9.0
Washington,2007,270.0,260.0,-10.0
Washington,2009,273.0,261.0,-12.0
Washington,2011,274.0,261.0,-13.0
Washington,2013,277.0,268.0,-9.0
Washington,2015,274.0,261.0,-13.0
Washington,2017,277.0,266.0,-11.0
Washington,2019,273.0,260.0,-13.0
Washington,2022,264.0,259.0,-5.0
West Virginia,2002,268.0,259.0,-9.0
West Virginia,2003,265.0,254.0,-11.0
West Virginia,2005,261.0,250.0,-11.0
West Virginia,2007,262.0,248.0,-14.0
West Virginia,2009,262.0,248.0,-14.0
West Virginia,2011,263.0,250.0,-13.0
West Virginia,2013,263.0,251.0,-12.0
West Virginia,2015,264.0,256.0,-8.0
West Virginia,2017,266.0,252.0,-14.0
West Virginia,2019,263.0,249.0,-14.0
West Virginia,2022,255.0,244.0,-11.0
Wisconsin,2002,269.0,260.0,-9.0
Wisconsin,2003,274.0,259.0,-15.0
Wisconsin,2005,273.0,261.0,-12.0
Wisconsin,2007,272.0,257.0,-15.0
Wisconsin,2009,271.0,260.0,-11.0
Wisconsin,2011,272.0,262.0,-10.0
Wisconsin,2013,275.0,261.0,-14.0
Wisconsin,2015,275.0,264.0,-11.0
Wisconsin,2017,277.0,262.0,-15.0
Wisconsin,2019,275.0,260.0,-15.0
Wisconsin,2022,266.0,258.0,-8.0
Wyoming,2002,271.0,260.0,-11.0
Wyoming,2003,272.0,262.0,-10.0
Wyoming,2005,272.0,264.0,-8.0
Wyoming,2007,271.0,261.0,-10.0
Wyoming,2009,271.0,265.0,-6.0
Wyoming,2011,274.0,265.0,-9.0
Wyoming,2013,277.0,265.0,-12.0
Wyoming,2015,275.0,263.0,-12.0
Wyoming,2017,276.0,262.0,-14.0
Wyoming,2019,270.0,260.0,-10.0
Wyoming,2022,268.0,254.0,-14.0
